"","Name","Date","Time","latitude","longitude","elevation","Comments","Gain..40.db","Sampling..16.khz"
"1","S10","","",4.57101,117.48348,279,"",NA,NA
"2","S11","13-Feb","3:07:00 PM",4.57501,117.48442,210,"sangat susah sampai",NA,NA
"3","S12","13-Feb","10:35:00 PM",4.57905,117.48509,227,"di belekang makmal baru",NA,NA
"4","S13","13-Feb","11:42:00 AM",4.58312,117.4854,158,"dekat sungai",NA,NA
"5","S14","12-Feb","",4.57508,117.48037,153,"dekat trail ke perut",NA,NA
"6","S15","12-Feb","9:40:00 AM",4.57929,117.48097,191,"dekat jambatan besar",NA,NA
"7","S16","12-Feb","4:00:00 PM",4.58337,117.48137,188,"di coffin trail",NA,NA
"8","S17","12-Feb","12:00:00 PM",4.58341,117.47726,280,"",NA,NA
"9","S18","12-Feb","10:30:00 AM",4.57933,117.47696,234,"",NA,NA
"10","S19","12-Feb","2:00:00 PM",4.57536,117.47632,207,"",NA,NA
"11","S20","13-Feb","1:00:00 PM",4.57932,117.47285,244,"icut trail ke rhino ridge",NA,NA
